Campaign,Campaign Type,Campaign Status,Budget,Budget type,Networks,Languages,Location,Bid Strategy Type,Ad rotation,Ad Group,Ad Group Type,Ad Group Status,Keyword,Criterion Type,Status,Ad type,Ad Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Sitelink text,Sitelink final URL,Sitelink description 1,Sitelink description 2,Callout text,Structured snippet header,Structured snippet values,Phone number,Country code
Relais — Parents France,,,,,,,,,,Intention directe,,,assistant administratif parent âgé,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,gestion administrative personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,gestion administrative personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aide démarches administratives seniors,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aide démarches administratives seniors,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,démarches administratives parents âgés,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,démarches administratives parents âgés,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,s'occuper des papiers de ses parents,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,s'occuper des papiers de ses parents,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,gérer les papiers de ses parents à distance,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,gérer les papiers de ses parents à distance,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,mandataire administratif personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,mandataire administratif personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,,,,Responsive search ad,Enabled,L'administratif de vos parents,"Vos parents en France, gérés","Relais, mandataire à distance","Courrier, Ameli, impôts, aides",Traitement sous 48 h ouvrées,"Un rapport mensuel, c'est tout",Mandat écrit et révocable,Aucune opération financière,Abonnement 89 € par mois,"Sans engagement, résiliable",Pour les enfants expatriés,Un interlocuteur unique,Appel de 20 minutes offert,Vos parents restent décideurs,Diagnostic complet offert,"Relais reçoit le courrier de votre parent, gère ses comptes en ligne, fait les démarches.","Mandat écrit, rapport mensuel, alerte en cas d'urgence. Aucune opération financière.","Vous vivez à l'étranger, votre parent est en France. Nous prenons le relais sous 48 h.","89 € par mois, sans engagement. Diagnostic offert. Réservez un appel de 20 minutes.",parents,administratif,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=intention-directe&utm_term={keyword},,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,Standard,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,ma mère n'arrive pas à utiliser ameli,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,ma mère n'arrive pas à utiliser ameli,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,parent âgé compte ameli bloqué,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,parent âgé compte ameli bloqué,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,parent âgé déclaration impôts en ligne,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,parent âgé déclaration impôts en ligne,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide déclaration impôts personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide déclaration impôts personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide franceconnect personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide franceconnect personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,parent âgé identifiants impots gouv perdus,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,parent âgé identifiants impots gouv perdus,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide carte vitale personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide carte vitale personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide ants personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide ants personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,renouvellement carte identité personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,renouvellement carte identité personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide info retraite personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,aide info retraite personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,pension de réversion démarches,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,pension de réversion démarches,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,courrier administratif parents âgés,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,courrier administratif parents âgés,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Problème précis,,,,,,Responsive search ad,Enabled,Compte Ameli bloqué ?,Déclaration d'impôts du parent,"FranceConnect, on s'en occupe","Carte Vitale, attestations",Identifiants perdus ? Réglé,"Retraite, pension de réversion","Relais, mandataire à distance",Traité sous 48 h ouvrées,"Mandat écrit, signé du parent",Un rapport mensuel pour vous,Aucune opération financière,"89 € par mois, sans engagement",Pour les enfants expatriés,Appel de 20 minutes offert,Fini les soirées au téléphone,"Ameli bloqué, impôts en ligne, FranceConnect : nous récupérons les accès, puis le reste.","Sous mandat écrit, sans jamais toucher à l'argent. Chaque action est tracée et rapportée.","Traitement sous 48 h ouvrées, ligne dédiée pour votre parent, alerte immédiate si urgence.","Abonnement 89 € par mois, sans engagement. Réservez un appel de 20 minutes, sans frais.",ameli,impots,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=probleme-precis&utm_term={keyword},,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,Standard,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,sortie hospitalisation démarches,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,sortie hospitalisation démarches,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,démarches après hospitalisation personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,démarches après hospitalisation personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,dossier apa comment faire,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,dossier apa comment faire,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,demande apa à domicile,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,demande apa à domicile,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,aide pour dossier apa,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,aide pour dossier apa,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,entrée ehpad démarches,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,entrée ehpad démarches,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,dossier admission ehpad,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,dossier admission ehpad,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,aide sociale hébergement démarches,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,aide sociale hébergement démarches,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,démarches après décès parent,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,démarches après décès parent,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,déclaration décès organismes,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,déclaration décès organismes,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,aide à domicile personne âgée démarches,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,aide à domicile personne âgée démarches,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,dossier viatrajectoire aide,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,dossier viatrajectoire aide,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Événement de vie,,,,,,Responsive search ad,Enabled,Sortie d'hospitalisation,Dossier APA pris en charge,"Entrée en EHPAD, démarches",Démarches après un décès,"Aide à domicile, dossier fait",Relais coordonne à distance,"Vous êtes loin, nous sommes là",Forfaits à partir de 490 €,"Mandat écrit, tout est tracé",Aucune opération financière,Un interlocuteur unique,Traité sous 48 h ouvrées,Appel de 20 minutes offert,Pour les enfants expatriés,Coordination avec le notaire,"Hospitalisation, APA, EHPAD, décès : nous montons les dossiers et suivons les organismes.","Forfaits Hospitalisation 490 €, EHPAD 690 €, Succession 890 €. Ou abonnement 89 €/mois.","Mandat écrit, aucune opération financière, rapport détaillé. Vous validez, nous faisons.",Vous ne pouvez pas être en France ? Réservez un appel de 20 min. Nous prenons le relais.,apa,hospitalisation,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=evenement-de-vie&utm_term={keyword},,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,Standard,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration administrative parent âgé,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration administrative parent âgé,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration démarches administratives,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration démarches administratives,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,mandat administratif personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,mandat administratif personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,mandat pour gérer les affaires de ses parents,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,mandat pour gérer les affaires de ses parents,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration parent âgé administratif,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration parent âgé administratif,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,représenter ses parents administration,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,représenter ses parents administration,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration ameli,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration ameli,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration impôts parent,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration impôts parent,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,alternative tutelle parent âgé,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,alternative tutelle parent âgé,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration courrier personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration courrier personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,mandat de gestion administrative,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,mandat de gestion administrative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration pour gérer les papiers de ma mère,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,procuration pour gérer les papiers de ma mère,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Procuration et mandat,,,,,,Responsive search ad,Enabled,Mandat administratif complet,"Procuration simple, sans juge",Votre parent reste décideur,Révocable à tout moment,Aucune opération financière,"Relais, mandataire à distance","Courrier, Ameli, impôts, aides","Mandat écrit, relu par avocat",Copie du mandat pour vous,"Coffre chiffré, accès tracés",Assurance RC professionnelle,Traitement sous 48 h ouvrées,"89 € par mois, sans engagement",Appel de 20 minutes offert,Pour les enfants expatriés,"Un mandat de représentation administrative écrit, limité, révocable. Le parent décide.","Sous mandat pour le courrier, les comptes en ligne et les demandes. Jamais pour l'argent.","Coffre chiffré, journal d'accès, assurance responsabilité civile pro, rapport mensuel.",Une alternative simple à la tutelle pour un parent autonome. Réservez un appel de 20 min.,mandat,parents,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=procuration-mandat&utm_term={keyword},,,,,,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comment ça marche,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=sitelink#fonctionnement,"Mandat, diagnostic, 48 h",puis rapport mensuel,,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tarifs,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=sitelink#tarifs,89 € par mois,sans engagement,,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sécurité et mandat,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=sitelink#confiance,"Mandat écrit, coffre chiffré","journal d'accès, RC pro",,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questions fréquentes,{{SITE_URL}}/?utm_source=google&utm_medium=cpc&utm_campaign=relais-parents-france&utm_content=sitelink#faq,"Légalité, tutelle, TVA","résiliation, données",,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traitement sous 48 h,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zéro opération financière,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapport mensuel,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sans engagement,,,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Services,Courrier;Ameli;Retraite;Impôts;APA;Mutuelle;Énergie,,
Relais — Parents France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{TELEPHONE_RELAIS}},FR
